('Total Revenue', '387,542,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         490033 function calls (471208 primitive calls) in 1.194 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      499    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.109    0.109 connection.py:356(connect)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
    38/29    0.000    0.000    0.005    0.000 css_parser.py:741(parse_pseudo_open)
      320    0.000    0.000    0.000    0.000 enum.py:801(value)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       25    0.000    0.000    0.003    0.000 response.py:397(_decode)
      154    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      154    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       27    0.000    0.000    0.000    0.000 typing.py:1222(__getitem__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2181(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      273    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      485    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       37    0.000    0.000    0.708    0.019 {method 'readline' of '_io.BufferedReader' objects}
      192    0.000    0.000    0.000    0.000 os.py:697(__iter__)
      155    0.000    0.000    0.000    0.000 socket.py:730(readable)
        1    0.000    0.000    0.007    0.007 ssl.py:1(<module>)
  273/271    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      214    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
       12    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        1    0.000    0.000    0.022    0.022 connectionpool.py:1(<module>)
       11    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
        2    0.000    0.000    0.018    0.009 connection.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1616(<setcomp>)
        2    0.000    0.000    0.001    0.001 cookies.py:1(<module>)
       44    0.000    0.000    0.000    0.000 ipaddress.py:1881(__init__)
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
      152    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        4    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
  121/104    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1468(__init__)
