('Total Revenue', '387,542,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         448697 function calls (430575 primitive calls) in 0.891 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    52/14    0.000    0.000    0.007    0.000 css_parser.py:925(parse_selectors)
       51    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
    50/33    0.000    0.000    0.061    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       50    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       50    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
       50    0.000    0.000    0.000    0.000 core.py:1844(set_name)
       50    0.000    0.000    0.000    0.000 core.py:3858(<genexpr>)
       50    0.000    0.000    0.000    0.000 core.py:4087(<genexpr>)
       50    0.000    0.000    0.000    0.000 core.py:4088(<genexpr>)
    48/46    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       47    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
       47    0.000    0.000    0.001    0.000 typing.py:1137(__getitem__)
       46    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       46    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       46    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       46    0.000    0.000    0.000    0.000 typing.py:1216(<genexpr>)
       46    0.000    0.000    0.000    0.000 core.py:772(postParse)
       46    0.000    0.000    0.000    0.000 core.py:3819(<genexpr>)
       44    0.000    0.000    0.000    0.000 unicode.py:17(<genexpr>)
       43    0.000    0.000    0.000    0.000 core.py:2333(_generateDefaultName)
       42    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
    42/30    0.000    0.000    0.005    0.000 css_parser.py:581(parse_pseudo_class)
       41    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       40    0.000    0.000    0.000    0.000 traceback.py:301(line)
       39    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       39    0.000    0.000    0.001    0.000 typing.py:1222(__getitem__)
       39    0.000    0.000    0.000    0.000 core.py:4099(<genexpr>)
       39    0.000    0.000    0.000    0.000 core.py:4148(<genexpr>)
       39    0.000    0.000    0.457    0.012 {method 'readline' of '_io.BufferedReader' objects}
       38    0.000    0.000    0.000    0.000 traceback.py:288(__getitem__)
    38/29    0.000    0.000    0.005    0.000 css_parser.py:741(parse_pseudo_open)
       36    0.001    0.000    0.002    0.000 util.py:182(_collapse_string_to_ranges)
       35    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       34    0.000    0.000    0.000    0.000 typing.py:714(__hash__)
